Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
10997.4,March-1975,3737.1,land,commercial,Center,trapezoid,5,17800,1,0.9934896757102543,1967,0.0,street,49,5,3,C,NA,
10936.2,January-1978,9659.7,duplex,commercial,Center,rectangle,1,22618,1,0.24902762373335274,1960,1969.0,street,0,5,2,NA,No,NA
10724.2,February-1983,9349.0,flat,commercial,Border,rectangle,1,23482,2,0.7532359165881396,1982,0.0,street,8,3,8,NA,Yes,NA
3798.8,November-1995,7679.6,villa,residential,Center,trapezoid,1,21715,5,0.8223287148791506,1982,1992.0,alley,87,4,6,,Yes,Yes
2876.9,June-2004,2142.1,villa,residential,Outskirts,rectangle,3,79393,6,0.8763225930663293,1998,0.0,highway,22,5,2,NA,Yes, No
10643.4,August-2009,10875.5,flat,residential,Center,irregular,1,9698mts,3,0.6041411915089536,1996,2005.0,alley,86,4,1,,No,NA
9636.7,March-87,2634.6,duplex,residential,Border,trapezoid,1,28292,8,0.5801316671652653,1971,1982.0,highway,5,2,1,NA,Yes,NA
9581.6,May-1977,3568.4,duplex,commercial,Border,rectangle,4,24259mts,8,0.5240774167699692,1967,1978.0,highway,50,3,6,,No,
10967.7,March-95,1900.0,open land,residential,Center,rectangle,2,22044mts,2,0.7349145032189482,1994,0.0,street,19,2,4,C,NA,NA
10509.5,May-1972,11195.9,duplex,residential,Center,irregular,4,24477mts,8,0.7945384292435905,1960,1970.0,alley,36,3,9,,No,NA
10634.3,March-2000,3123.4,flat,residential,Center,trapezoid,1,21817mts,8,0.8077274149587463,1987,1995.0,alley,60,2,9,NA,Yes,NA
9995.8,Feb-2007,4095.8,flat,commercial,Outskirts,irregular,3,75327mts,7,0.8708083654973244,2000,0.0,highway,70,5,4,NA,Yes,NA
16691.2,Apr-1973,1479.1,duplex,residential,Outskirts,irregular,1,79360,6,0.8992373428823773,1967,0.0,highway,51,1,7,NA,No,
2736.5,Sep-1999,8864.0,villa,residential,Border,irregular,2,21730,10,0.7443359922365559,1980,1990.0,highway,48,4,2,NA,Yes,Yes
2342.7,November-1999,5191.6,villa,residential,Border,irregular,4,25458,1,0.47852406205168097,1989,1999.0,highway,79,1,4,,Yes, No
9649.0,August-1989,4409.8,flat,commercial,Border,trapezoid,1,39316,8,0.9951203883483747,1985,0.0,highway,6,3,1,,No,NA
10130.3,February-2002,7780.0,flat,residential,Border,irregular,1,27777,6,0.5465450104574724,2002,0.0,street,56,3,8,NA,Yes,NA
10104.7,Jun-2002,2261.7,open land,industrial,Border,trapezoid,2,20308,7,0.31098002824779736,1989,,street,25,1,3,C,NA,NA
10092.8,August-2009,9659.3,flat,residential,Outskirts,irregular,1,55041,9,0.8929659100497785,2006,0.0,highway,43,1,6,,Yes,NA
10455.7,March-1978,10233.4,duplex,residential,Border,rectangle,5,40052mts,8,0.5437007680379519,1962,1973.0,street,38,4,3,NA,Yes,NA
9396.7,December-2005,4214.4,flat,residential,Outskirts,irregular,4,68670mts,5,0.17835614900925678,1993,2004.0,highway,65,4,9,,No,NA
