Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
9955.8,January-1982,2970.9,open land,residential,Outskirts,irregular,1,70093,5,0.4831969637420641,1982,0,highway,9,3,10,F,NA,NA
10942.7,October-1974,9688.2,duplex,commercial,Center,rectangle,2,5960,2,0.6672664993677618,1974,0,street,37,5,3,NA,No,NA
2250.9,September-1993,1008.1,villa,residential,Border,irregular,3,30642,4,0.322850291785713,1986,0,highway,9,4,6,NA,Yes, No
17574.3,April-1993,1156.8,open land,industrial,Border,irregular,1,21894,8,0.54592173986412,1986,0,highway,33,2,8,F,NA,NA
10598.2,November-2009,8958.2,duplex,residential,Outskirts,trapezoid,3,74941,9,0.33354863310992766,2002,0,highway,0,3,9,NA,Yes,NA
9963.2,November-1974,1804.7,open land,industrial,Outskirts,rectangle,3,79420,10,0.27190905404763255,1960,0,highway,26,3,10,F,NA,NA
10507.2,March-1990,6311.0,open land,commercial,Border,rectangle,2,27355,9,0.5549133348285661,1985,0,highway,91,3,7,F,NA,NA
2392.8,December-1997,3898.0,villa,residential,Border,irregular,5,27924,9,0.5960816213251696,1993,0,highway,94,5,9,NA,Yes, No
9407.8,October-2003,4118.3,flat,commercial,Outskirts,irregular,3,56437,5,0.026435444345974557,1987,1996,highway,23,1,6,NA,No,NA
11166.2,May-1987,9540.7,duplex,commercial,Center,rectangle,3,18003,6,0.10695799130064543,1971,1979,street,64,3,6,NA,Yes,NA
3188.4,July-2006,9227.2,villa,residential,Border,trapezoid,3,34872,1,0.3036376696714823,1993,2002,street,84,1,3,NA,Yes,Yes
9185.2,September-1971,6771.5,flat,residential,Outskirts,irregular,1,76986,2,0.8669485670643848,1971,0,highway,59,3,4,NA,No,NA
2885.4,August-2009,8712.5,villa,residential,Border,trapezoid,1,25402,9,0.46690541372279004,1991,2000,highway,96,4,6,NA,Yes, No
10571.4,March-2002,9958.3,open land,industrial,Border,irregular,4,31869,4,0.7836564146834771,1998,0,street,94,5,1,C,NA,NA
10043.2,May-1995,2786.1,open land,industrial,Outskirts,rectangle,2,54014,7,0.4242144231565411,1992,0,highway,85,1,2,F,NA,NA
2440.3,January-1986,2718.4,villa,residential,Outskirts,trapezoid,4,63427,5,0.5631684954658684,1982,0,highway,64,3,8,NA,Yes, No
