Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
10240.3,May-1987,5670.9,open land,commercial,Outskirts,trapezoid,4,53179,6,0.18143205063255685,1976,0,highway,75,4,4,C,NA,NA
18334.1,April-1975,11698.2,open land,residential,Outskirts,trapezoid,4,64454,7,0.08714890308549206,1958,0,highway,21,2,8,F,NA,NA
9670.0,June-1988,1792.5,flat,residential,Border,irregular,3,37055,5,0.8696673955088577,1986,0,highway,5,5,10,NA,Yes,NA
17499.3,April-1972,5311.9,open land,residential,Outskirts,irregular,5,68116,5,0.36015018669115484,1966,0,highway,93,2,3,F,NA,NA
10692.7,June-1979,9711.0,flat,commercial,Center,rectangle,2,3903,6,0.8667228387594883,1966,1974,alley,85,1,9,NA,No,NA
10638.1,February-1986,9916.3,duplex,commercial,Border,rectangle,1,23411,6,0.4914724261768816,1977,0,street,84,3,10,NA,Yes,NA
10766.0,June-1990,10522.4,open land,residential,Border,rectangle,4,38055,3,0.564610346060258,1990,0,highway,77,4,10,C,NA,NA
10133.7,August-1990,10104.8,duplex,commercial,Outskirts,rectangle,2,73475,7,0.18951512997280462,1986,0,highway,59,1,8,NA,No,NA
18185.2,April-1998,10985.1,flat,residential,Border,trapezoid,3,23193,9,0.3411817128150255,1998,0,street,16,5,9,NA,No,NA
10959.8,September-1992,11476.3,open land,industrial,Border,trapezoid,3,38616,1,0.6900632886125173,1978,0,street,23,3,1,F,NA,NA
10998.1,August-2007,7444.0,flat,commercial,Center,trapezoid,5,11886,6,0.891046765172462,2002,0,alley,22,1,7,NA,No,NA
9342.2,September-1973,5432.8,flat,commercial,Border,irregular,1,37031,7,0.07180049660758736,1970,0,highway,50,1,1,NA,Yes,NA
10546.7,October-1985,7089.4,duplex,residential,Center,irregular,5,17517,4,0.14277496240867382,1978,0,alley,60,1,4,NA,Yes,NA
9896.4,February-1983,11166.3,flat,residential,Outskirts,rectangle,2,79520,10,0.8460954328832654,1964,1972,highway,27,3,4,NA,No,NA
10089.4,October-1990,6843.2,duplex,residential,Outskirts,rectangle,5,76207,10,0.11643359182980362,1977,1988,highway,88,4,7,NA,Yes,NA
10282.1,May-2003,10335.8,flat,residential,Outskirts,trapezoid,4,55696,5,0.4958809438871038,1988,1997,highway,66,2,6,NA,Yes,NA
2646.4,December-2004,5662.5,villa,residential,Border,irregular,4,33794,3,0.08651098595520301,1999,0,highway,77,4,3,NA,Yes,Yes
9022.2,January-1984,1725.9,flat,commercial,Outskirts,irregular,3,74870,10,0.9190359893441491,1974,1984,highway,69,1,10,NA,No,NA
10410.0,May-1989,908.6,flat,residential,Center,trapezoid,3,16362,8,0.49932158134231486,1979,1990,alley,82,5,8,NA,Yes,NA
10601.8,March-1971,11751.8,duplex,commercial,Outskirts,rectangle,5,76951,2,0.9464175993500326,1962,0,highway,53,4,1,NA,Yes,NA
10147.5,August-1977,10390.4,duplex,commercial,Outskirts,irregular,4,73375,1,0.4386933644669889,1964,1972,highway,31,1,8,NA,Yes,NA
10316.2,January-1996,9864.1,duplex,residential,Border,trapezoid,4,21516,3,0.6874029065934569,1984,1993,highway,82,4,2,NA,Yes,NA
11117.4,April-1999,9764.6,villa,residential,Outskirts,rectangle,5,66569,9,0.46340345882628264,1995,0,highway,36,2,5,NA,Yes,Yes
3037.0,February-1994,11227.5,villa,residential,Border,trapezoid,5,31808,5,0.43061319607372905,1989,0,highway,97,2,3,NA,Yes,Yes
10730.9,April-1989,9205.7,villa,residential,Outskirts,irregular,5,75926,1,0.5356159857343643,1987,0,highway,38,5,5,NA,Yes, No
10889.4,March-1989,10847.9,open land,residential,Border,rectangle,5,31546,1,0.7462315096443374,1973,0,street,41,2,7,C,NA,NA
9768.3,October-1991,959.7,open land,industrial,Outskirts,irregular,2,61810,9,0.8960935099758479,1980,0,highway,38,3,7,F,NA,NA
9523.2,November-1996,3236.3,duplex,residential,Outskirts,irregular,3,77758,2,0.5114980092465917,1982,1991,highway,85,2,2,NA,Yes,NA
3571.5,December-1972,8335.9,villa,residential,Center,trapezoid,2,23073,4,0.4841622992471588,1970,0,street,21,5,7,NA,Yes, No
3613.0,December-1999,5423.9,villa,residential,Center,rectangle,5,11253,9,0.590282097636892,1997,0,street,28,2,3,NA,Yes, No
10167.6,September-1988,1231.5,duplex,commercial,Center,irregular,1,14299,4,0.6944757590357347,1979,0,alley,55,5,3,NA,No,NA
10028.2,September-1994,7498.1,duplex,residential,Border,irregular,5,20173,8,0.33240266786871675,1990,0,street,76,2,9,NA,Yes,NA
11579.2,April-1981,9171.8,villa,residential,Center,rectangle,5,22023,8,0.548525298911884,1966,1976,street,21,4,6,NA,Yes, No
2696.3,November-1989,6109.2,villa,residential,Outskirts,trapezoid,3,79834,6,0.328261581031704,1981,0,highway,25,1,2,NA,Yes,Yes
10202.1,August-1998,9932.8,flat,residential,Border,trapezoid,4,35133,8,0.5295233456159895,1994,0,highway,89,4,4,NA,Yes,NA
10009.5,September-1983,7924.2,flat,commercial,Outskirts,rectangle,5,65650,6,0.8826146756384521,1973,1982,highway,67,5,6,NA,No,NA
9845.5,October-1991,2083.3,duplex,commercial,Border,trapezoid,3,31898,5,0.32620642295583124,1979,1989,highway,93,3,10,NA,Yes,NA
9491.1,March-2001,5532.5,flat,residential,Outskirts,trapezoid,3,68430,7,0.8570650225800736,1984,1992,highway,96,3,3,NA,No,NA
10843.4,November-1978,8006.4,open land,residential,Center,trapezoid,4,18479,7,0.18457623882290564,1972,0,alley,88,1,5,C,NA,NA
3536.3,December-1988,6483.1,villa,residential,Center,irregular,2,9339,2,0.46294341012805185,1973,1981,alley,34,5,5,NA,Yes,Yes
2400.8,November-1974,5699.4,villa,residential,Outskirts,trapezoid,3,67970,9,0.4372595780294095,1960,1968,highway,85,5,8,NA,Yes, No
10751.7,January-2008,922.2,flat,residential,Center,trapezoid,4,15150,5,0.5868987140401682,2001,0,street,8,4,8,NA,Yes,NA
9631.4,February-1985,3692.9,flat,commercial,Border,rectangle,4,23379,3,0.8101597488817024,1975,1985,highway,51,3,3,NA,No,NA
